LODNUM,PRTNUM,STOLOC,LOTNUM,RCVQTY,RCVSTS,"TO_CHAR(IVD.EXPIRE_DTE,'DD/MM/YYYY')",EXPQTY,IDNQTY,EXPQTY_TT,IDNQTY_TT,UOM,DESCRICAO,INVNUM,TOTAL,WAYBIL,TRLR_NUM,TRLR_STAT
R1004378910350002219527,02499,TRL0550234,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002218353,02499,TRL0550234,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002219145,02499,TRL0550233,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1007378910350002219008,02499,TRL0550561,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002218056,02499,TRL0550234,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002217998,02499,TRL0550233,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1007378910350002219169,02499,TRL0550561,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002217585,02499,TRL0550234,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1007378910350002218148,02499,TRL0550561,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002218896,02499,TRL0550375,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002217660,02499,TRL0550234,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002217486,02499,TRL0550233,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002217820,02499,TRL0550234,A03241002,78,Disponivel,02/10/2026,78,78,1014,1014,cs,SBP PR EUCALIPTO MULTI 24X450,8802889342,1014,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002219626,3049424,TRL0550346,A01241002,78,Disponivel,02/10/2026,78,78,468,468,cs,SBP MLT EUCALIPTO 24X380 ML,8802889342,468,000586251-001,RHI8A70-586251,Dispatched
R1005378910350002217578,3049424,TRL0550412,A01241002,78,Disponivel,02/10/2026,78,78,468,468,cs,SBP MLT EUCALIPTO 24X380 ML,8802889342,468,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002219213,3049424,TRL0550346,A01241002,78,Disponivel,02/10/2026,78,78,468,468,cs,SBP MLT EUCALIPTO 24X380 ML,8802889342,468,000586251-001,RHI8A70-586251,Dispatched
R1004378910350002217974,3049424,TRL0550237,A01241002,78,Disponivel,02/10/2026,78,78,468,468,cs,SBP MLT EUCALIPTO 24X380 ML,8802889342,468,000586251-001,RHI8A70-586251,Dispatched
R1005378910350002219329,3049424,TRL0550413,A01241002,78,Disponivel,02/10/2026,78,78,468,468,cs,SBP MLT EUCALIPTO 24X380 ML,8802889342,468,000586251-001,RHI8A70-586251,Dispatched
